company,warehouse,item,client,supplier,name,description
20901,WMEC,0004-0001-0002-0002-0008-0002-5018,,,1X1X1,1X1X1
20901,WMEC,0004-0001-0002-0002-0009-0002-5018,,,1X1X1,1X1X1
20901,WMEC,0004-0007-0005-0000-0000-0001-0000,,,1X1X1,1X1X1
20901,WMEC,0004-0009-0003-0005-0018-0002-4015,,,1X1X1,1X1X1
20901,WMEC,0004-0009-0003-0005-0019-0002-4016,,,1X1X1,1X1X1
20901,WMEC,0004-0009-0003-0005-0019-0002-5018,,,1X1X1,1X1X1
20901,WMEC,0005-0001-0002-0011-0000-0000-0017,,,1X1X1,1X1X1
20901,WMEC,0005-0001-0002-0011-0000-0000-0018,,,1X1X1,1X1X1
20901,WMEC,0006-0002-0012-0001-0000-0000-0005,,,1X1X1,1X1X1
20901,WMEC,0006-0002-0012-0002-0000-0000-0004,,,1X1X1,1X1X1
20901,WMEC,0008-0002-0002-0000-0004-0000-0003,,,1X1X1,1X1X1
20901,WMEC,0008-0003-0003-0000-0001-0000-0003,,,1X1X1,1X1X1
20901,WMEC,0009-0004-0002-0042-0001-0000-0000,,,1X1X1,1X1X1
20901,WMEC,011-014-01347,,,1X1X1,1X1X1
20901,WMEC,12 CAN,,,1X1X1,1X1X1
20901,WMEC,134866,,,1X1X1,1X1X1
20901,WMEC,134867,,,1X1X1,1X1X1
20901,WMEC,1368648,,,1X1X1,1X1X1
20901,WMEC,140024,,,1X1X1,1X1X1
20901,WMEC,14217-CC,,,1X1X1,1X1X1
20901,WMEC,15202-10-25,,,1X1X1,1X1X1
20901,WMEC,15202-80-25,,,1X1X1,1X1X1
20901,WMEC,15254-35-22,,,1X1X1,1X1X1
20901,WMEC,1645419,,,1X1X1,1X1X1
20901,WMEC,17312,,,1X1X1,1X1X1
20901,WMEC,17313,,,1X1X1,1X1X1
20901,WMEC,17879-11-20,,,1X1X1,1X1X1
20901,WMEC,17880-50-30,,,1X1X1,1X1X1
20901,WMEC,18232P-C3,,,1X1X1,1X1X1
20901,WMEC,18665D-3055,,,1X1X1,1X1X1
20901,WMEC,18910-35-25,,,1X1X1,1X1X1
20901,WMEC,18910-50-30,,,1X1X1,1X1X1
20901,WMEC,18910-80-20,,,1X1X1,1X1X1
