company,warehouse,name,description,client,itemFamily,unitCost,allowCartonization,allowAllocationByLPN,allocationRoundUpStrategyType,allocationRoundUpStrategyValue,trackingVolumeFlag,trackingLotNumberFlag,trackingManufactureDateFlag,shelfLifeDays,trackingExpirationDateFlag
20901,WMEC,6420704,6420704,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-00-20,22570P-00-20,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-08-20,22570P-08-20,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-08-25,22570P-08-25,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-08-29,22570P-08-29,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-20-20,22570P-20-20,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-20-25,22570P-20-25,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-20-29,22570P-20-29,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-35-20,22570P-35-20,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-35-25,22570P-35-25,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-35-29,22570P-35-29,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-45-20,22570P-45-20,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-45-25,22570P-45-25,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-45-29,22570P-45-29,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-55-25,22570P-55-25,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-70-20,22570P-70-20,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-70-25,22570P-70-25,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-70-29,22570P-70-29,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-93-20,22570P-93-20,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-93-25,22570P-93-25,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,22570P-93-29,22570P-93-29,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,24 CAN,24 CAN,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,255-1,255-1,,RAW,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,4GBGS-19-BLUE,4GBGS-19-BLUE,,FG,0,false,true,NO_LIMIT,0.0,true,false,false,0,false
20901,WMEC,5QT-ES2018-GREEN-HANDLE,5QT-ES2018-GREEN-HANDLE,,RAW,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,5QT-ES2020-RED-HANDLE,5QT-ES2020-RED-HANDLE,,RAW,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,7QDP-19-BLK,7QDP-19-BLK,,FG,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,E34-005-004,E34-005-004,,RAW,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,E40-002-002-004,E40-002-002-004,,RAW,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,E40-002-002-006,E40-002-002-006,,RAW,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,E40-002-002-008,E40-002-002-008,,RAW,0,false,false,NONE,0.0,true,false,false,0,false
20901,WMEC,PP-RB-30,PP-RB-30,,RAW,0,false,false,NONE,0.0,true,false,false,0,false
