company,warehouse,name,description,client,itemFamily,unitCost,allowCartonization,allowAllocationByLPN,allocationRoundUpStrategyType,allocationRoundUpStrategyValue,trackingVolumeFlag,trackingLotNumberFlag,trackingManufactureDateFlag,shelfLifeDays,trackingExpirationDateFlag,imageUrl,thumbnailUrl
20901,WMEC,0004-0001-0002-0002-0008-0002-5018,"輔料拉鏈#8NY正穿拉鏈 布邊寬38mm,長60"" 凍色處理, 紫色2645C",,已採購的料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0004-0001-0002-0002-0009-0002-5018,"輔料拉鏈#8NY正穿拉鏈 布邊寬38mm,長53"" 凍色處理, 紫色2645C",,PUR,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0004-0007-0005-0000-0000-0001-0000,輔料TSA鎖(怡豐16023）黑色,,已採購的料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0004-0009-0003-0005-0018-0002-4015,"輔料 管條  PVC 扁條霧面 寬:37mm 長:12-1/2""   淺綠色14-4812TCX",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0004-0009-0003-0005-0019-0002-4016,"輔料 管條  PVC 扁條霧面 寬:37mm 長:10-1/2""  綠色18-6330TCX",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0004-0009-0003-0005-0019-0002-5018,"輔料管條 PVC扁條 霧面 寬:37mm 長:10-1/2"" 紫色2645C",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0005-0001-0002-0011-0000-0000-0017,"拉桿鋁拉桿三節(江順SH110)內管金色,塑膠件紫色2645C,管套白色,上下品42.5cm,不含輪33.5"",一個停頓點27.5""",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0005-0001-0002-0011-0000-0000-0018,"拉桿鋁拉桿三節(江順SH110)內管霧銀,塑膠件紫色2645C,管套白色,上下品50.3cm,不含輪39"",第一個停頓點31.5"",第二個停頓點35""",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0006-0002-0012-0001-0000-0000-0005,"輪子 八輪(編號:江順SD-828-5AB) 輪胎黑色,輪座綠色,輪蓋綠色18-6330TCX 左",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0006-0002-0012-0002-0000-0000-0004,"輪子 八輪(編號:江順SD-828-5AB) 輪胎黑色,輪座橘色,輪蓋橘色C-13 5010 右",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0008-0002-0002-0000-0004-0000-0003,五金螺絲 尖尾自攻絲 面:12mm 直徑:4mm 腳長:10mm 銀白,,PUR,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0008-0003-0003-0000-0001-0000-0003,五金套片 金屬套片 12mm 銀白,,已採購的料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,0009-0004-0002-0042-0001-0000-0000,"包材PE袋 0.050mm x32"" (開口)x37"" 印警語",,已採購的料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,011-014-01347,"PE袋印警語 0.060mm x 27-1/2"" (開口)x31-1/2""",,PUR,0,false,false,NONE,0,true,false,false,0,false,,
