company,warehouse,name,description,client,itemFamily,unitCost,allowCartonization,allowAllocationByLPN,allocationRoundUpStrategyType,allocationRoundUpStrategyValue,trackingVolumeFlag,trackingLotNumberFlag,trackingManufactureDateFlag,shelfLifeDays,trackingExpirationDateFlag,imageUrl,thumbnailUrl
20901,WMEC,4GBGS-19-BLUE-0009,AD 4 GAL BKT & GRID,,FG,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,VL-DD-10-0009,VL ECO DBL DINER,,FG,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,4GBGS-19-BLUE-BODY-0009,4GBGS-19-BLUE-BODY,,副組裝料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,20-RW-2,20-RW-2,,副組裝料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,PP-C-30-PM513209,PP-C-30-PM513209,,副組裝料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,4GBGS-19-BLUE-Screen-0009,4GBGS-19-BLUE-Screen,,SA,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,C-4GBGS-19-PRP,4GBGS-19-PRP CARTON,,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,C-4GBGS-19,4GBGS-19 CARTON,,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,E33-004-004,4 Gallon bucket square label,,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,E33-004-005,4 Gallon bucket safety label,,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,E40-006-001,"10ga galvanize wire, White grip USA",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,TAPE-CL-0.75IN,"Clear tape 0.75""",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,C-VL-DD-10,VL-DD-10 CARTON,,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,L-VL-DD-10,VL-DD-10 LABEL,,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,L-VL-DD-10-Instruction,VL-DD-10 High Rise Bowl Instruction Label,,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,TAPE-CL-0.75IN,"Clear tape 0.75""",,RAW,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,VL-DD-10-Bowl-0005,VL-DD-10-Bowl,,副組裝料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,VL-DD-10-Frame-0009,VL-DD-10-Frame,,副組裝料號,0,false,false,NONE,0,true,false,false,0,false,,
20901,WMEC,VL-DD-10-Leg-0005,VL-DD-10-Leg,,SA,0,false,false,NONE,0,true,false,false,0,false,,
